id;ligne;titre;date;artiste;lieu;description;image;tags;largeur;hauteur;octets
vue-du-grand-canal_1726;27;Vue du grand canal;1726;Antonio Canaletto;Galerie des offices;Veduta (vedute pluriel) : luminosité, précision quasi topographique avec camera oscura, carte postale pour les visiteurs aristocratiques. Voyage à Londres.;vue-du-grand-canal_1726.jpg;Peinture, Huile, Paysage;960;602;218461
gondoles-sur-la-lagune_1765;28;gondoles sur la lagune;1765;Francesco Guardi;musée Poldi Pezzoli, milan;Veduta, privilégie les effets d'atmosphère, la vibration de la lumière et une touche plus libre. économie de moyens.;gondoles-sur-la-lagune_1765.jpg;Peinture, Huile, Paysage;1400;892;330314
autoportrait-au-chevalet_1800;29;Autoportrait au chevalet;1800;Elisabeth Vigée Le Brun;Musée de l’ermitage;elle fait le dessin préparatoire sur toile. Portrait moral, cherche à représenter le caractère, sa personnalité, son intelligence ou sa sensibilité, par l’expression du visage, l’attitude et les attributs choisis. Ici femme sûre d’elle, inspirée, affirmant son statut d’artiste.;autoportrait-au-chevalet_1800.jpg;Peinture, Huile, Portrait, Dessin;500;591;68915
continence-de-scipion_1726;30;Continence de Scipion;1726;François Lemoyne;musée des beaux-arts de Nancy;sujet inspiré de Tite live, touche rubenesque. Concours de 1727;continence-de-scipion_1726.jpg;Peinture, Huile, Histoire, Baroque;760;537;65009
diane-au-repos_1726;31;Diane au repos;1726;Jean-François De Troy;musée des beaux-arts de Nancy;métamorphoses d’Ovide, sujet mytho prétexte à sujet galant. Concours 1727;diane-au-repos_1726.jpg;Peinture, Huile, Histoire, Rocaille;1400;922;160512
l-enlevement-d-europe_1747;32;L’enlèvement d’Europe;1747;François Boucher;Louvre;Amours d’Ovide. Sujet non moral, c’est une scène de séduction, Concours 1747;l-enlevement-d-europe_1747.jpg;Peinture, Huile, Histoire, Rocaille;1400;1144;281182
adelaide-de-france-en-diane_1745;33;Adélaïde de France en Diane;1745;Jean-Marc Nattier;Palais Pitti, Florence;fille de Louis XV;adelaide-de-france-en-diane_1745.jpg;Peinture, Huile, Portrait, Rocaille;600;443;48421
tabatiere-de-louis-xv_1725;34;Tabatière de Louis XV;1725;Daniel Govaers, Jean baptiste Massé;Louvre;d'après les portraits de Van Loo : Louis XV et Marie de Leszczynska. Offert par Louis XV à un diplomate. Massé = miniaturiste. Or, émail pour décor floral, gouache pour portraits.;tabatiere-de-louis-xv_1725.jpg;Orfèvrerie, portrait, gouache, émail;634;583;72978
le-chateau-de-carte_1740;35;Le château de carte;1740;Jean-Siméon Chardin;National Gallery Londres;Le temps semble suspendu, activité simple, reprise des scènes de genre hollandais XVII dans les intérieurs domestiques. ennoblit la scène de genre en apportant des valeurs morales : travail, concentration.;le-chateau-de-carte_1740.jpg;Peinture, Huile, Scène de genre;960;804;102672
sarah-siddons-en-muse-de-la-tragedie_1789;36;Sarah Siddons en Muse de la Tragédie;1789;Joshua Reynolds;Dulwich Picture Gallery;Actrice contemporaine en muse antique, anoblissement du portrait, deux figures allégoriques derrière.;sarah-siddons-en-muse-de-la-tragedie_1789.jpg;Peinture, Huile, Portrait,;872;1400;159703
