id;ligne;titre;date;artiste;lieu;image;tags;largeur;hauteur;octets
tabatiere-de-louis-xv_1725;34;Tabatière de Louis XV;1725;Daniel Govaers, Jean baptiste Massé;Louvre;tabatiere-de-louis-xv_1725.jpg;Orfèvrerie, portrait, gouache, émail;634;583;72978
le-chateau-de-carte_1740;35;Le château de carte;1740;Jean-Siméon Chardin;National Gallery Londres;le-chateau-de-carte_1740.jpg;Peinture, Huile, Scène de genre;960;804;102672
sarah-siddons-en-muse-de-la-tragedie_1789;36;Sarah Siddons en Muse de la Tragédie;1789;Joshua Reynolds;Dulwich Picture Gallery;sarah-siddons-en-muse-de-la-tragedie_1789.jpg;Peinture, Huile, Portrait,;872;1400;159703
portrait-des-enfants-du-peintre-chassant-un-papi_vers-1756;37;Portrait des enfants du peintre chassant un papillon;vers 1756;Thomas Gainsborough;National Gallery Londres;portrait-des-enfants-du-peintre-chassant-un-papi_vers-1756.jpg;Peinture, Huile, Portrait;1298;1400;178517
l-accordee-du-village_1761;38;L’accordée du village;1761;Jean-Baptiste Greuze;Louvre;l-accordee-du-village_1761.jpg;Peinture, Huile, Scène de genre, Histoire;1400;1080;233802
septime-severe-reprochant-a-caracalla-d-avoir-vo_1769;39;Septime Sévère reprochant à Caracalla d’avoir voulu l’assassiner;1769;Jean-Baptiste Greuze;Louvre;septime-severe-reprochant-a-caracalla-d-avoir-vo_1769.jpg;Peinture, Huile, Histoire, néoclassicisme;768;602;86752
nature-morte-au-trophee-de-gibier-fruit-et-perro_1716;40;nature morte au trophée de gibier, fruit et perroquet, niche;1716;Alexandre- françois Desportes;Collection Bemberg, Toulouse;nature-morte-au-trophee-de-gibier-fruit-et-perro_1716.jpg;Peinture, Huile, Nature morte, animaux;1132;1400;260315
le-rhinoceros-clara_1749;41;le Rhinocéros Clara;1749;Jean Baptiste Oudry;musée d'État de Schwerin;le-rhinoceros-clara_1749.jpg;Peinture, Huile, animaux;544;367;26198
la-raie_1728;42;La raie;1728;Jean Siméon Chardin;Louvre;la-raie_1728.jpg;Peinture, Huile, nature morte, animaux;1400;1092;284476
vue-du-port-de-bordeaux-depuis-le-chateau-trompe_1759;43;vue du port de bordeaux depuis le château Trompette;1759;Claude Joseph Vernet;musée de la Marine;vue-du-port-de-bordeaux-depuis-le-chateau-trompe_1759.jpg;Peinture, Huile, paysage;640;407;29100
serie-de-gravure-des-prisons-imaginaires_a-partir-de-1750;44;série de gravure des “prisons imaginaires”;à partir de 1750;Jean Baptiste Piranèse;;serie-de-gravure-des-prisons-imaginaires_a-partir-de-1750.jpg;estampes;648;868;246296
vue-de-la-grande-galerie-en-ruines_1796;45;Vue de la grande galerie en ruines;1796;Hubert Robert;Louvre;vue-de-la-grande-galerie-en-ruines_1796.jpg;Peinture, Huile, paysage;640;501;65811
la-renommee-a-cheval-sur-pegase_1700;46;La renommée à cheval sur Pégase;1700;Antoine Coysevox;Louvre;la-renommee-a-cheval-sur-pegase_1700.jpg;Sculpture, marbre, animaux, Baroque;563;750;72649
chevaux-de-marly_1743-45;47;Chevaux de Marly;1743-45;Guillaume Coustou;Louvre;chevaux-de-marly_1743-45.jpg;Sculpture, marbre, animaux, Baroque;1260;1400;216615
saint-bruno_1745;48;Saint Bruno;1745;Michel Ange Slodtz;Basilique saint-Pierre de Rome;saint-bruno_1745.jpg;Sculpture, marbre, Baroque;1000;1240;143196
